Country;Happiness.Rank;Happiness.Score;Economy..GDP.per.Capita.;Family;Health..Life.Expectancy.;Freedom;Trust..Government.Corruption.;Generosity;Dystopia.Residual;Year
Norway;1;753.700.017.929.077;161.646.318.435.669;153.352.355.957.031;0.796666502952576;0.635422587394714;0.315963834524155;0.36201223731041;227.702.665.328.979;2017
Denmark;2;752.199.983.596.802;148.238.301.277.161;155.112.159.252.167;0.792565524578094;0.626006722450256;0.40077006816864;0.355280488729477;231.370.735.168.457;2017
Iceland;3;750.400.018.692.017;1.480.633.020.401;16.105.740.070.343;0.833552122116089;0.627162635326385;0.153526559472084;0.475540220737457;232.271.528.244.019;2017
Switzerland;4;749.399.995.803.833;156.497.955.322.266;151.691.174.507.141;0.858131289482117;0.620070576667786;0.367007285356522;0.290549278259277;22.767.162.322.998;2017
Finland;5;74.689.998.626.709;144.357.192.516.327;15.402.467.250.824;0.80915766954422;0.617950856685638;0.38261154294014;0.24548277258873;24.301.815.032.959;2017
Netherlands;6;73.769.998.550.415;150.394.463.539.124;142.893.922.328.949;0.810696125030518;0.585384488105774;0.282661825418472;0.470489829778671;229.480.409.622.192;2017
Canada;7;731.599.998.474.121;147.920.441.627.502;148.134.899.139.404;0.83455765247345;0.611100912094116;0.287371516227722;0.435539722442627;218.726.444.244.385;2017
New Zealand;8;731.400.012.969.971;140.570.604.801.178;154.819.512.367.249;0.816759705543518;0.614062130451202;0.382816702127457;0.500005125999451;20.464.563.369.751;2017
Sweden;9;728.399.991.989.136;149.438.726.902.008;147.816.216.945.648;0.830875158309937;0.612924098968506;0.384398728609085;0.385399252176285;209.753.799.438.477;2017
Australia;10;728.399.991.989.136;1.484.414.935.112;151.004.195.213.318;0.84388679265976;0.601607382297516;0.301183730363846;0.477699249982834;206.521.081.924.438;2017
Israel;11;721.299.982.070.923;137.538.242.340.088;137.628.996.372.223;0.83840399980545;0.405988603830338;0.0852421000599861;0.330082654953003;280.175.733.566.284;2017
Costa Rica;12;70.789.999.961.853;110.970.628.261.566;141.640.365.123.749;0.759509265422821;0.580131649971008;0.100106589496136;0.214613229036331;289.863.920.211.792;2017
Austria;13;700.600.004.196.167;148.709.726.333.618;14.599.449.634.552;0.815328419208527;0.567766189575195;0.221060365438461;0.316472321748734;21.385.064.125.061;2017
United States;14;699.300.003.051.758;154.625.928.401.947;141.992.056.369.781;0.77428662776947;0.505740523338318;0.135638788342476;0.392578780651093;22.181.134.223.938;2017
Ireland;15;697.700.023.651.123;153.570.663.928.986;155.823.111.534.119;0.80978262424469;0.573110342025757;0.29838815331459;0.42785832285881;177.386.903.762.817;2017
Germany;16;695.100.021.362.305;148.792.338.371.277;147.252.035.140.991;0.798950731754303;0.562511384487152;0.276731938123703;0.336269170045853;201.576.995.849.609;2017
Belgium;17;689.099.979.400.635;146.378.076.076.508;146.231.269.836.426;0.818091869354248;0.539770722389221;0.251343131065369;0.231503337621689;212.421.035.766.602;2017
Luxembourg;18;686.299.991.607.666;174.194.359.779.358;145.758.366.584.778;0.845089495182037;0.59662789106369;0.31883442401886;0.283180981874466;161.951.208.114.624;2017
United Kingdom;19;671.400.022.506.714;144.163.393.974.304;149.646.008.014.679;0.805335938930511;0.508190035820007;0.265428066253662;0.492774158716202;170.414.352.416.992;2017
Chile;20;665.199.995.040.894;125.278.460.979.462;128.402.495.384.216;0.819479703903198;0.376895278692245;0.0822879821062088;0.326662421226501;250.958.585.739.136;2017
United Arab Emirates;21;664.799.976.348.877;162.634.336.948.395;126.641.023.159.027;0.726798236370087;0.60834527015686;0.324489563703537;0.3609419465065;1.734.703.540.802;2017
Brazil;22;663.500.022.888.184;110.735.321.044.922;143.130.600.452.423;0.616552352905273;0.437453746795654;0.111092761158943;0.16234989464283;276.926.708.221.436;2017
Czech Republic;23;660.900.020.599.365;135.268.235.206.604;143.388.521.671.295;0.754444003105164;0.490946173667908;0.0368729270994663;0.0881067588925362;245.186.185.836.792;2017
Argentina;24;659.899.997.711.182;118.529.546.260.834;144.045.114.517.212;0.695137083530426;0.494519203901291;0.059739887714386;0.109457060694695;261.400.532.722.473;2017
Mexico;25;657.800.006.866.455;115.318.381.786.346;1.210.862.159.729;0.709978997707367;0.412730008363724;0.132774114608765;0.120990432798862;283.715.486.526.489;2017
Singapore;26;657.200.002.670.288;169.227.766.990.662;135.381.436.347.961;0.949492394924164;0.549840569496155;0.46430778503418;0.345965981483459;121.636.199.951.172;2017
Malta;27;652.699.995.040.894;134.327.983.856.201;148.841.166.496.277;0.821944236755371;0.588767051696777;0.153066068887711;0.574730575084686;155.686.283.111.572;2017
Uruguay;28;64.539.999.961.853;121.755.969.524.384;141.222.786.903.381;0.719216823577881;0.57939225435257;0.178061872720718;0.175096929073334;217.240.953.445.435;2017
Guatemala;29;64.539.999.961.853;0.872001945972443;125.558.519.363.403;0.540239989757538;0.531310617923737;0.0772232785820961;0.283488392829895;289.389.109.611.511;2017
Panama;30;64.520.001.411.438;123.374.843.597.412;137.319.254.875.183;0.706156134605408;0.550026834011078;0.070983923971653;0.21055693924427;230.719.995.498.657;2017
France;31;644.199.991.226.196;143.092.346.191.406;138.777.685.165.405;0.844465851783752;0.470222115516663;0.172502428293228;0.129762306809425;200.595.474.243.164;2017
Thailand;32;642.399.978.637.695;112.786.877.155.304;142.579.245.567.322;0.647239029407501;0.580200731754303;0.0316127352416515;0.572123110294342;203.950.834.274.292;2017
Taiwan Province of China;33;642.199.993.133.545;143.362.653.255.463;138.456.535.339.355;0.793984234333038;0.361466586589813;0.0638292357325554;0.258360475301743;21.266.074.180.603;2017
Spain;34;640.299.987.792.969;138.439.786.434.174;153.209.090.232.849;0.888960599899292;0.408781230449677;0.0709140971302986;0.190133571624756;192.775.774.002.075;2017
Qatar;35;6.375;187.076.568.603.516;127.429.687.976.837;0.710098087787628;0.604130983352661;0.439299255609512;0.330473870038986;11.454.644.203.186;2017
Colombia;36;635.699.987.411.499;107.062.232.494.354;14.021.829.366.684;0.595027923583984;0.477487415075302;0.0466687418520451;0.149014472961426;261.606.812.477.112;2017
Saudi Arabia;37;63.439.998.626.709;153.062.355.518.341;128.667.759.895.325;0.590148329734802;0.449750572443008;0.27343225479126;0.147616013884544;20.654.296.875;2017
Trinidad and Tobago;38;616.800.022.125.244;136.135.590.076.447;13.802.285.194.397;0.519983291625977;0.518630743026733;0.00896481610834599;0.325296461582184;205.324.745.178.223;2017
Kuwait;39;610.500.001.907.349;163.295.245.170.593;125.969.874.858.856;0.632105708122253;0.496337592601776;0.215159550309181;0.228289797902107;164.042.520.523.071;2017
Slovakia;40;609.800.004.959.106;132.539.355.754.852;150.505.924.224.854;0.712732911109924;0.295817464590073;0.0242108516395092;0.136544480919838;209.777.665.138.245;2017
